LineId,Timestamp,Level,Service,ResponseTime_ms,MemoryUsage_MB,ThreadCount,Message
501,2025-07-22 15:23:27,DEBUG,UserService,171,278,18,[DEBUG] UserService configuration loaded successfully
502,2025-07-22 11:11:57,INFO,AuthService,187,230,18,AuthService completed batch operation
503,2025-07-22 13:00:57,DEBUG,PaymentAPI,132,238,20,[DEBUG] PaymentAPI connection pool stats: 5/20 active
504,2025-07-22 17:18:57,WARN,PaymentAPI,898,428,25,[WARN] PaymentAPI retry attempt 3 of 5
505,2025-07-22 16:19:57,INFO,OrderProcessor,156,340,13,OrderProcessor processed request successfully in 156ms
506,2025-07-22 17:43:27,ERROR,PaymentAPI,688,425,17,[ERROR] PaymentAPI out of memory during large operation
507,2025-07-22 15:25:27,DEBUG,AuthService,172,260,12,[DEBUG] AuthService thread pool status: healthy
508,2025-07-22 12:54:57,CRITICAL,PaymentAPI,182,294,17,[DEBUG] PaymentAPI configuration loaded successfully
509,2025-07-22 17:41:27,ERROR,AuthService,1078,304,27,[ERROR] AuthService failed to connect to database
510,2025-07-22 15:58:57,DEBUG,UserService,190,286,13,[DEBUG] Query execution plan optimized for UserService
511,2025-07-22 11:51:57,INFO,AuthService,147,222,18,Request validated and forwarded to AuthService
512,2025-07-22 14:12:27,INFO,OrderProcessor,101,244,14,Request validated and forwarded to OrderProcessor
513,2025-07-22 12:30:57,INFO,UserService,101,257,17,UserService cache hit - data retrieved efficiently
514,2025-07-22 09:50:57,INFO,AuthService,157,223,15,User session established for AuthService
515,2025-07-22 12:25:27,DEBUG,PaymentAPI,153,317,13,[DEBUG] PaymentAPI connection pool stats: 5/20 active
516,2025-07-22 16:02:27,DEBUG,OrderProcessor,140,310,12,[DEBUG] OrderProcessor thread pool status: healthy
517,2025-07-22 11:34:27,INFO,PaymentAPI,166,200,15,PaymentAPI processed request successfully in 166ms
518,2025-07-22 11:12:57,INFO,PaymentAPI,158,206,6,User session established for PaymentAPI
519,2025-07-22 17:54:57,ERROR,UserService,477,590,26,[ERROR] UserService authentication failed - invalid credentials
520,2025-07-22 09:54:27,INFO,OrderProcessor,173,253,13,Request validated and forwarded to OrderProcessor
521,2025-07-22 12:41:27,INFO,OrderProcessor,139,214,10,OrderProcessor cache hit - data retrieved efficiently
522,2025-07-22 15:16:27,INFO,OrderProcessor,162,224,13,OrderProcessor cache hit - data retrieved efficiently
523,2025-07-22 16:53:57,INFO,PaymentAPI,141,271,14,User session established for PaymentAPI
524,2025-07-22 12:33:27,INFO,OrderProcessor,131,289,17,OrderProcessor completed batch operation
525,2025-07-22 13:18:57,INFO,UserService,163,317,16,UserService completed batch operation
526,2025-07-22 14:18:57,DEBUG,UserService,152,160,15,[DEBUG] Query execution plan optimized for UserService
527,2025-07-22 16:39:57,INFO,OrderProcessor,143,218,17,Request validated and forwarded to OrderProcessor
528,2025-07-22 11:24:57,DEBUG,OrderProcessor,143,258,15,[DEBUG] OrderProcessor connection pool stats: 5/20 active
529,2025-07-22 14:58:27,INFO,OrderProcessor,175,298,13,Request validated and forwarded to OrderProcessor
530,2025-07-22 10:29:57,INFO,AuthService,162,207,13,User session established for AuthService
531,2025-07-22 14:22:27,INFO,PaymentAPI,168,242,16,Request validated and forwarded to PaymentAPI
532,2025-07-22 10:17:27,INFO,UserService,168,256,13,UserService cache hit - data retrieved efficiently
533,2025-07-22 14:54:27,INFO,UserService,189,205,20,User session established for UserService
534,2025-07-22 12:05:27,INFO,UserService,147,293,16,UserService completed batch operation
535,2025-07-22 16:45:27,INFO,UserService,112,195,15,User session established for UserService
536,2025-07-22 13:20:27,INFO,UserService,145,264,17,UserService cache hit - data retrieved efficiently
537,2025-07-22 10:59:57,INFO,OrderProcessor,109,271,16,OrderProcessor processed request successfully in 109ms
538,2025-07-22 10:20:57,INFO,OrderProcessor,164,209,17,User session established for OrderProcessor
539,2025-07-22 15:48:27,INFO,PaymentAPI,153,283,15,PaymentAPI cache hit - data retrieved efficiently
540,2025-07-22 13:26:27,DEBUG,UserService,156,257,10,[DEBUG] UserService thread pool status: healthy
541,2025-07-22 11:17:27,INFO,AuthService,151,196,15,AuthService processed request successfully in 151ms
542,2025-07-22 11:58:57,DEBUG,AuthService,164,255,9,[DEBUG] Query execution plan optimized for AuthService
543,2025-07-22 11:41:27,INFO,PaymentAPI,186,214,12,User session established for PaymentAPI
544,2025-07-22 13:46:57,INFO,UserService,182,281,16,UserService cache hit - data retrieved efficiently
545,2025-07-22 10:41:57,INFO,PaymentAPI,180,215,20,User session established for PaymentAPI
546,2025-07-22 17:34:57,WARN,OrderProcessor,621,399,15,[WARN] OrderProcessor memory usage above 80%
547,2025-07-22 13:59:27,DEBUG,AuthService,146,210,13,[DEBUG] AuthService connection pool stats: 5/20 active
548,2025-07-22 16:35:57,DEBUG,PaymentAPI,97,224,15,[DEBUG] PaymentAPI configuration loaded successfully
549,2025-07-22 14:38:57,INFO,PaymentAPI,175,199,18,Request validated and forwarded to PaymentAPI
550,2025-07-22 10:46:27,DEBUG,UserService,180,269,18,[DEBUG] UserService thread pool status: healthy
551,2025-07-22 10:41:27,DEBUG,OrderProcessor,199,188,12,[DEBUG] Query execution plan optimized for OrderProcessor
552,2025-07-22 13:39:57,DEBUG,PaymentAPI,144,332,16,[DEBUG] Cache statistics updated for PaymentAPI
553,2025-07-22 15:29:57,INFO,OrderProcessor,139,279,20,Request validated and forwarded to OrderProcessor
554,2025-07-22 10:11:57,INFO,UserService,147,309,26,User session established for UserService
555,2025-07-22 16:54:57,INFO,AuthService,139,390,19,AuthService cache hit - data retrieved efficiently
556,2025-07-22 17:19:27,ERROR,UserService,1059,730,27,[ERROR] UserService connection refused by external API
557,2025-07-22 12:47:57,INFO,OrderProcessor,195,246,17,User session established for OrderProcessor
