LineId,Timestamp,Component,Operation,ResponseTime_ms,MemoryUsage_MB,ThreadCount,RequestID,Message
1,2025-07-23 15:06:50,Queue,UpdateUser,231,269,14,REQ-23104,REQ-23104 UpdateUser executed successfully on Queue
2,2025-07-23 12:42:50,Database,CacheData,265,353,11,REQ-58520,REQ-58520 Database CacheData - no issues detected
3,2025-07-23 15:13:20,WebAPI,ProcessOrder,140,265,14,REQ-67433,WebAPI completed ProcessOrder with normal performance
4,2025-07-23 13:23:50,WebAPI,CacheData,223,219,12,REQ-30730,REQ-30730 WebAPI CacheData - no issues detected
5,2025-07-23 12:58:20,WebAPI,RunJob,222,280,17,REQ-51245,WebAPI service processed RunJob request
6,2025-07-23 15:23:20,Scheduler,RunJob,172,326,11,REQ-89276,Scheduler service processed RunJob request
7,2025-07-23 15:14:50,Database,SendNotification,233,276,9,REQ-90173,REQ-90173 SendNotification executed successfully on Database
8,2025-07-23 13:08:20,WebAPI,RunJob,321,256,11,REQ-28131,WebAPI completed RunJob with normal performance
9,2025-07-23 12:40:20,Queue,RunJob,243,246,14,REQ-46434,REQ-46434 Queue RunJob - no issues detected
10,2025-07-23 15:51:20,Database,UpdateUser,2607,626,32,REQ-80236,FAILED: Database connection lost during UpdateUser
11,2025-07-23 12:10:50,Scheduler,CacheData,190,331,7,REQ-81482,REQ-81482 CacheData executed successfully on Scheduler
12,2025-07-23 13:43:20,Queue,RunJob,171,250,11,REQ-72296,REQ-72296 RunJob executed successfully on Queue
13,2025-07-23 15:29:20,WebAPI,CacheData,220,154,9,REQ-65518,REQ-65518 CacheData executed successfully on WebAPI
14,2025-07-23 12:48:20,WebAPI,CacheData,230,184,13,REQ-80010,"Operation CacheData finished, WebAPI status: healthy"
15,2025-07-23 15:11:50,Queue,SendNotification,209,295,15,REQ-58434,"Operation SendNotification finished, Queue status: healthy"
16,2025-07-23 15:20:20,WebAPI,CacheData,256,299,12,REQ-25129,WebAPI CacheData completed in 256ms
