 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
49196,3,2,0,37,0,37,0,18.5,26.1629509,0,0,0.0,0.0,12300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.6667,0.0,0,37,24.66666667,21.36195996,456.3333333,0,1,0,0,1,0,0,0,0,37.0,18.5,0.0,64,0,0,0,0,0,0,2,37,0,0,118,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
49195,3,2,0,37,0,37,0,18.5,26.1629509,0,0,0.0,0.0,12300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.6667,0.0,0,37,24.66666667,21.36195996,456.3333333,0,1,0,0,1,0,0,0,0,37.0,18.5,0.0,64,0,0,0,0,0,0,2,37,0,0,133,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
49184,1,2,0,37,0,37,0,18.5,26.1629509,0,0,0.0,0.0,37000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,1,0,0,0,64,0,2000000.0,0.0,0,37,24.66666667,21.36195996,456.3333333,0,1,0,0,1,0,0,0,0,37.0,18.5,0.0,64,0,0,0,0,0,0,2,37,0,0,114,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
49197,73110,2,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,246.2043496,68.39009711,18277.5,36423.77799,72913,0,73110,73110.0,0.0,73110,73110,4,2.0,2.828427125,4,0,0,0,0,0,64,60,27.35603885,41.03405827,0,6,3.0,3.286335345,10.8,0,0,0,0,1,0,0,0,1,3.6,0.0,6.0,64,0,0,0,0,0,0,2,0,3,18,124,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0
49177,168,2,1,12,6,6,6,6.0,0.0,6,6,6.0,0.0,107142.8571,17857.14286,84.0,117.3797257,167,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,40,20,11904.7619,5952.380952,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,8.0,6.0,6.0,40,0,0,0,0,0,0,2,12,1,6,22686,65535,1,20,0.0,0.0,0,0,0.0,0.0,0,0
49176,224,2,1,12,6,6,6,6.0,0.0,6,6,6.0,0.0,80357.14286,13392.85714,112.0,154.1492783,221,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,20,8928.571429,4464.285714,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,8.0,6.0,6.0,40,0,0,0,0,0,0,2,12,1,6,22686,65535,1,20,0.0,0.0,0,0,0.0,0.0,0,0
49191,77,2,1,12,6,6,6,6.0,0.0,6,6,6.0,0.0,233766.2338,38961.03896,38.5,50.20458146,74,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,20,25974.02597,12987.01299,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,8.0,6.0,6.0,40,0,0,0,0,0,0,2,12,1,6,17777,65535,1,20,0.0,0.0,0,0,0.0,0.0,0,0
49185,64,2,1,12,6,6,6,6.0,0.0,6,6,6.0,0.0,281250.0,46875.0,32.0,39.59797975,60,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,40,20,31250.0,15625.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,8.0,6.0,6.0,40,0,0,0,0,0,0,2,12,1,6,17777,65535,1,20,0.0,0.0,0,0,0.0,0.0,0,0
49186,55,2,1,12,6,6,6,6.0,0.0,6,6,6.0,0.0,327272.7273,54545.45455,27.5,37.4766594,54,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,40,20,36363.63636,18181.81818,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,8.0,6.0,6.0,40,0,0,0,0,0,0,2,12,1,6,16551,65535,1,20,0.0,0.0,0,0,0.0,0.0,0,0
49189,52,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,230769.2308,38461.53846,52.0,0.0,52,52,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,19230.76923,19230.76923,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,17777,65535,0,20,0.0,0.0,0,0,0.0,0.0,0,0
