time,level,content,anomaly_label,heuristic_anomaly
Thu Jun 09 06:07:05 2005,error,"env.createBean2(): Factory error creating channel.jni:jni ( channel.jni, jni)",1,1
Thu Jun 09 06:07:05 2005,error,config.update(): Can't create channel.jni:jni,1,1
Thu Jun 09 06:07:05 2005,error,"env.createBean2(): Factory error creating vm: ( vm, )",1,1
Thu Jun 09 06:07:05 2005,error,config.update(): Can't create vm:,1,1
Thu Jun 09 06:07:05 2005,error,"env.createBean2(): Factory error creating worker.jni:onStartup ( worker.jni, onStartup)",1,1
Thu Jun 09 06:07:05 2005,error,config.update(): Can't create worker.jni:onStartup,1,1
Thu Jun 09 06:07:05 2005,error,"env.createBean2(): Factory error creating worker.jni:onShutdown ( worker.jni, onShutdown)",1,1
Thu Jun 09 06:07:05 2005,error,config.update(): Can't create worker.jni:onShutdown,1,1
Thu Jun 09 06:07:20 2005,error,mod_jk child init 1 0,1,1
Thu Jun 09 07:11:21 2005,error,[client 204.100.200.22] Directory index forbidden by rule: /var/www/html/,1,1
Thu Jun 09 12:08:57 2005,error,[client 207.203.80.15] Directory index forbidden by rule: /var/www/html/,1,1
Thu Jun 09 12:17:49 2005,error,[client 216.68.171.39] Directory index forbidden by rule: /var/www/html/,1,1
Thu Jun 09 12:48:10 2005,error,[client 24.158.204.7] Directory index forbidden by rule: /var/www/html/,1,1
Thu Jun 09 13:59:36 2005,error,[client 216.85.154.124] Directory index forbidden by rule: /var/www/html/,1,1
Thu Jun 09 14:22:15 2005,error,[client 219.136.165.149] Directory index forbidden by rule: /var/www/html/,1,1
Thu Jun 09 14:40:51 2005,error,[client 218.114.142.11] Directory index forbidden by rule: /var/www/html/,1,1
Thu Jun 09 15:06:08 2005,error,[client 211.74.182.199] Directory index forbidden by rule: /var/www/html/,1,1
Thu Jun 09 16:31:58 2005,error,[client 218.61.75.217] Directory index forbidden by rule: /var/www/html/,1,1
Thu Jun 09 17:04:03 2005,error,[client 12.32.56.253] Directory index forbidden by rule: /var/www/html/,1,1
Thu Jun 09 18:55:10 2005,error,[client 24.159.188.244] Directory index forbidden by rule: /var/www/html/,1,1
Thu Jun 09 18:56:23 2005,error,[client 222.76.16.61] Directory index forbidden by rule: /var/www/html/,1,1
Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:32 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:32 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:32 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:32 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:32 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:32 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:32 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
Thu Jun 09 19:23:32 2005,error,jk2_init() Can't find child 4057 in scoreboard,1,1
Thu Jun 09 19:23:32 2005,error,mod_jk child init 1 -2,1,1
Thu Jun 09 19:23:32 2005,error,jk2_init() Can't find child 4058 in scoreboard,1,1
Thu Jun 09 19:23:32 2005,error,mod_jk child init 1 -2,1,1
Thu Jun 09 19:52:05 2005,error,[client 219.150.171.68] Directory index forbidden by rule: /var/www/html/,1,1
Thu Jun 09 20:05:25 2005,error,[client 60.180.218.105] Directory index forbidden by rule: /var/www/html/,1,1
Thu Jun 09 20:30:02 2005,error,[client 12.223.73.171] Directory index forbidden by rule: /var/www/html/,1,1
Thu Jun 09 23:48:54 2005,error,[client 143.127.131.4] Directory index forbidden by rule: /var/www/html/,1,1
Fri Jun 10 00:36:44 2005,error,[client 65.106.172.142] Directory index forbidden by rule: /var/www/html/,1,1
Fri Jun 10 00:57:00 2005,error,[client 222.166.160.169] Directory index forbidden by rule: /var/www/html/,1,1
Fri Jun 10 01:23:50 2005,error,[client 63.203.254.140] Invalid method in request get /scripts/.%252e/.%252e/winnt/system32/cmd.exe?/c+dir,1,1
