lineID,timestamp,level,service,response_time_ms,memory_usage_mb,thread_count,anomaly_label,heuristic_anomaly
41,2025-07-01 00:40:00,ERROR,AuthService,1405,991,20,1,1
81,2025-07-01 01:20:00,ERROR,AuthService,810,563,40,1,1
95,2025-07-01 01:34:00,ERROR,UserService,80,156,4,1,1
121,2025-07-01 02:00:00,ERROR,UserService,1035,549,28,1,1
161,2025-07-01 02:40:00,ERROR,PaymentAPI,1265,888,51,1,1
165,2025-07-01 02:44:00,ERROR,OrderProcessor,76,164,4,1,1
201,2025-07-01 03:20:00,ERROR,PaymentAPI,719,544,52,1,1
241,2025-07-01 04:00:00,ERROR,UserService,1255,1061,26,1,1
248,2025-07-01 04:07:00,ERROR,UserService,75,158,4,1,1
251,2025-07-01 04:10:00,ERROR,OrderProcessor,78,161,4,1,1
281,2025-07-01 04:40:00,ERROR,UserService,825,981,35,1,1
321,2025-07-01 05:20:00,ERROR,UserService,1392,670,27,1,1
327,2025-07-01 05:26:00,ERROR,UserService,78,162,4,1,1
351,2025-07-01 05:50:00,ERROR,AuthService,96,170,5,1,1
361,2025-07-01 06:00:00,ERROR,PaymentAPI,1286,667,55,1,1
389,2025-07-01 06:28:00,ERROR,AuthService,86,158,4,1,1
401,2025-07-01 06:40:00,ERROR,OrderProcessor,1355,906,24,1,1
430,2025-07-01 07:09:00,ERROR,PaymentAPI,108,171,4,1,1
441,2025-07-01 07:20:00,ERROR,OrderProcessor,1381,944,46,1,1
481,2025-07-01 08:00:00,ERROR,OrderProcessor,1196,932,37,1,1
510,2025-07-01 08:29:00,ERROR,OrderProcessor,88,168,4,1,1
521,2025-07-01 08:40:00,ERROR,PaymentAPI,1150,572,24,1,1
561,2025-07-01 09:20:00,ERROR,UserService,1270,695,31,1,1
595,2025-07-01 09:54:00,ERROR,PaymentAPI,159,211,10,1,1
601,2025-07-01 10:00:00,ERROR,PaymentAPI,894,591,56,1,1
641,2025-07-01 10:40:00,ERROR,UserService,800,532,24,1,1
652,2025-07-01 10:51:00,ERROR,PaymentAPI,73,166,5,1,1
681,2025-07-01 11:20:00,ERROR,UserService,1246,1047,55,1,1
693,2025-07-01 11:32:00,ERROR,OrderProcessor,74,163,4,1,1
715,2025-07-01 11:54:00,ERROR,PaymentAPI,231,256,9,1,1
721,2025-07-01 12:00:00,ERROR,AuthService,1269,984,45,1,1
736,2025-07-01 12:15:00,ERROR,UserService,72,163,4,1,1
761,2025-07-01 12:40:00,ERROR,OrderProcessor,938,1011,60,1,1
776,2025-07-01 12:55:00,ERROR,UserService,82,158,4,1,1
801,2025-07-01 13:20:00,ERROR,PaymentAPI,1227,699,46,1,1
819,2025-07-01 13:38:00,ERROR,UserService,93,162,4,1,1
841,2025-07-01 14:00:00,ERROR,UserService,1065,905,55,1,1
881,2025-07-01 14:40:00,ERROR,UserService,810,867,38,1,1
921,2025-07-01 15:20:00,ERROR,AuthService,1362,722,52,1,1
944,2025-07-01 15:43:00,ERROR,PaymentAPI,85,163,4,1,1
961,2025-07-01 16:00:00,ERROR,AuthService,949,572,23,1,1
978,2025-07-01 16:17:00,ERROR,OrderProcessor,74,157,4,1,1
1001,2025-07-01 16:40:00,ERROR,PaymentAPI,748,633,18,1,1
1041,2025-07-01 17:20:00,ERROR,PaymentAPI,1187,786,37,1,1
1065,2025-07-01 17:44:00,ERROR,UserService,79,160,4,1,1
1081,2025-07-01 18:00:00,ERROR,OrderProcessor,922,895,15,1,1
1121,2025-07-01 18:40:00,ERROR,PaymentAPI,1084,782,52,1,1
1161,2025-07-01 19:20:00,ERROR,AuthService,1051,1054,15,1,1
1182,2025-07-01 19:41:00,ERROR,OrderProcessor,83,158,4,1,1
1183,2025-07-01 19:42:00,ERROR,UserService,79,167,4,1,1
